timestep,Standard Tariff,7-Hour Off Peak Tariff,10-Hour Off Peak Tariff,Variable Time of Day Tariff,Export Tariff
0,25.16,14.6,16.04,10.87017271,10.00
1,25.16,14.6,16.04,9.732400651,10.00
2,25.16,14.6,16.04,14.51889127,10.00
3,25.16,14.6,16.04,9.338661214,10.00
4,25.16,14.6,16.04,20.43413411,10.00
5,25.16,14.6,16.04,19.93178826,10.00
6,25.16,14.6,16.04,19.32618256,10.00
7,25.16,14.6,16.04,13.9155867,10.00
8,25.16,14.6,16.04,9.736881658,10.00
9,25.16,14.6,16.04,9.208054245,10.00
10,25.16,14.6,16.04,16.91548718,10.00
11,25.16,14.6,16.04,22.41268954,10.00
12,25.16,14.6,16.04,23.6179491,10.00
13,25.16,14.6,16.04,31.1047283,10.00
14,25.16,29.8,35.01,29.88704233,10.00
15,25.16,29.8,35.01,27.55174451,10.00
16,25.16,29.8,35.01,23.00840242,10.00
17,25.16,29.8,35.01,18.66786514,10.00
18,25.16,29.8,35.01,30.41279889,10.00
19,25.16,29.8,35.01,28.78117742,10.00
20,25.16,29.8,35.01,23.44323722,10.00
21,25.16,29.8,35.01,29.33799627,10.00
22,25.16,29.8,35.01,17.43888831,10.00
23,25.16,29.8,35.01,23.91911304,10.00
24,25.16,29.8,35.01,22.12045065,10.00
25,25.16,29.8,35.01,21.87635462,10.00
26,25.16,29.8,35.01,21.86625096,10.00
27,25.16,29.8,16.04,17.90196632,10.00
28,25.16,29.8,16.04,11.2382545,10.00
29,25.16,29.8,16.04,9.187361554,10.00
30,25.16,29.8,16.04,23.48961638,10.00
31,25.16,29.8,16.04,17.1810246,10.00
32,25.16,29.8,16.04,22.93001543,10.00
33,25.16,29.8,35.01,17.93222412,10.00
34,25.16,29.8,35.01,13.85162083,10.00
35,25.16,29.8,35.01,20.46212748,10.00
36,25.16,29.8,35.01,24.38169849,10.00
37,25.16,29.8,35.01,16.10354781,10.00
38,25.16,29.8,35.01,15.38274628,10.00
39,25.16,29.8,35.01,23.03075519,10.00
40,25.16,29.8,35.01,18.50268266,10.00
41,25.16,29.8,35.01,19.77413909,10.00
42,25.16,29.8,35.01,14.44384225,10.00
43,25.16,29.8,35.01,27.73635516,10.00
44,25.16,29.8,35.01,13.79588583,10.00
45,25.16,29.8,35.01,4.942060591,10.00
46,25.16,29.8,35.01,14.34646657,10.00
47,25.16,29.8,35.01,19.05457804,10.00
48,25.16,14.6,16.04,10.54450423,10.00
49,25.16,14.6,16.04,9.440819621,10.00
50,25.16,14.6,16.04,14.08390781,10.00
51,25.16,14.6,16.04,9.058876548,10.00
52,25.16,14.6,16.04,19.82193101,10.00
53,25.16,14.6,16.04,19.33463535,10.00
54,25.16,14.6,16.04,18.74717349,10.00
55,25.16,14.6,16.04,13.49867814,10.00
