timestep,Standard Tariff,7-Hour Off Peak Tariff,10-Hour Off Peak Tariff,Variable Time of Day Tariff,Export Tariff
0,25.16,14.6,16.04,10.87017271,15
1,25.16,14.6,16.04,9.732400651,15
2,25.16,14.6,16.04,14.51889127,15
3,25.16,14.6,16.04,9.338661214,15
4,25.16,14.6,16.04,20.43413411,15
5,25.16,14.6,16.04,19.93178826,15
6,25.16,14.6,16.04,19.32618256,15
7,25.16,29.8,35.01,13.9155867,15
8,25.16,29.8,35.01,9.736881658,15
9,25.16,29.8,35.01,9.208054245,15
10,25.16,29.8,35.01,16.91548718,15
11,25.16,29.8,35.01,22.41268954,15
12,25.16,29.8,35.01,23.6179491,15
13,25.16,29.8,35.01,31.1047283,15
14,25.16,29.8,16.04,29.88704233,15
15,25.16,29.8,16.04,27.55174451,15
16,25.16,29.8,16.04,23.00840242,15
17,25.16,29.8,35.01,18.66786514,15
18,25.16,29.8,35.01,30.41279889,15
19,25.16,29.8,35.01,28.78117742,15
20,25.16,29.8,35.01,23.44323722,15
21,25.16,29.8,35.01,29.33799627,15
22,25.16,29.8,35.01,17.43888831,15
23,25.16,29.8,35.01,23.91911304,15
