.csv,,,,,,,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,,,,,,
File produced by BRE,08-May-25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Site," Northolt, London",,,,,,,,,,,,,,,,,,,,
Latitude,51.549, Longitude,-0.417, Altitude,33,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Notation and units,,,,,,,,,,,,,,,,,,,,,
Column, Variable, Description, Units, Notes,,,,,,,,,,,,,,,,,
1, Year,,,,,,,,,,,,,,,,,,,,
2, Month,,,,,,,,,,,,,,,,,,,,
3, Date,,,,,,,,,,,,,,,,,,,,
4, Hour,,,,,,,,,,,,,,,,,,,,
5, PWC, , , (on hour GMT),,,,,,,,,,,,,,,,,
6, CC, Cloud amount, oktas, (on hour GMT),,,,,,,,,,,,,,,,,
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT),,,,,,,,,,,,,,,,,
9, RH, Relative Humidity, % (on hour GMT),,,,,,,,,,,,,,,,,,
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT),,,,,,,,,,,,,,,,,
11, WD, Wind Direction, degrees, (average over previous hour GMT),,,,,,,,,,,,,,,,,
12, WS, Wind Speed, knots, (average over previous hour GMT),,,,,,,,,,,,,,,,,
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT),,,,,,,,,,,,,,,,,
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT),,,,,,,,,,,,,,,,,
17-22, Missing Data Codes, see accompanying documentation for description,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Model parameters,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Missing Data Codes,,,,,
Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
2003,1,1,1,,8,4.4,3.2,80.3,1010.1,130,7,0,0,,,0,0,0,0,0,0
2003,1,1,2,,8,5,3.9,82.4,1008.9,140,9,0,0,,,0,0,0,0,0,0
2003,1,1,3,,8,5.4,4.5,86,1007.7,130,9,0,0,,,0,0,0,0,0,0
2003,1,1,4,,7,6,5.3,89.3,1006.1,140,11,0,0,,,0,0,0,0,0,0
2003,1,1,5,,6,6.2,5.6,90.9,1004.3,140,11,0,0,,,0,0,0,0,0,0
2003,1,1,6,,8,6.3,6,95.4,1001.9,130,11,0,0,,,0,0,0,0,0,0
