Timestep,Primary Energy Factor kWh/kWh delivered,Emissions Factor kgCO2e/kWh,Emissions Factor kgCO2e/kWh including out-of-scope emissions
0,1.592160748,0.052301328,0.052301328
1,1.630462966,0.058593102,0.058593102
2,1.646392298,0.058051924,0.058051924
3,1.655134499,0.056721905,0.056721905
4,1.611144974,0.05111036,0.05111036
5,1.635389046,0.050670302,0.050670302
6,1.536185253,0.035447772,0.035447772
7,1.622933069,0.044165875,0.044165875
8,1.654543291,0.04845465,0.04845465
9,1.692595099,0.053490885,0.053490885
10,1.765057158,0.062140214,0.062140214
11,1.786401503,0.067067314,0.067067314
12,1.747350786,0.067335253,0.067335253
13,1.765704777,0.07489314,0.07489314
14,1.787810259,0.082307907,0.082307907
15,1.813808913,0.086740481,0.086740481
16,1.79454522,0.087062486,0.087062486
17,1.848371242,0.094470581,0.094470581
18,1.853471061,0.095629363,0.095629363
19,1.928645347,0.091859092,0.091859092
20,2.060258264,0.085094843,0.085094843
21,2.071365828,0.081319651,0.081319651
22,2.093789124,0.08441911,0.08441911
23,2.020595684,0.070964535,0.070964535
24,1.996294306,0.073417397,0.073417397
25,2.009108444,0.076201375,0.076201375
26,1.982148525,0.084558675,0.084558675
27,1.98669202,0.083023693,0.083023693
28,2.031873875,0.082554996,0.082554996
29,2.096039542,0.085421271,0.085421271
30,2.111950641,0.091380703,0.091380703
31,2.20187831,0.103553517,0.103553517
32,2.189314857,0.112445421,0.112445421
33,2.237786839,0.128202658,0.128202658
34,2.197298321,0.13800933,0.13800933
35,2.14865981,0.134539373,0.134539373
36,2.084854549,0.12894127,0.12894127
37,2.051895799,0.126549566,0.126549566
38,2.023063447,0.112120859,0.112120859
39,1.990746468,0.10873676,0.10873676
40,1.852990288,0.104301397,0.104301397
41,1.892887892,0.10905482,0.10905482
42,1.893620741,0.105691985,0.105691985
43,1.829477823,0.095880087,0.095880087
44,1.749040218,0.080012574,0.080012574
45,1.70687936,0.070520483,0.070520483
46,1.697916841,0.06502649,0.06502649
47,1.70824115,0.06283701,0.06283701
48,1.707529474,0.059621291,0.059621291
49,1.769272095,0.06715734,0.06715734
50,1.82370921,0.071011391,0.071011391
51,1.865036138,0.072164465,0.072164465
52,1.93597504,0.073945443,0.073945443
53,1.857446758,0.064516246,0.064516246
54,1.816489745,0.06085684,0.06085684
55,1.784079739,0.057295592,0.057295592
56,1.89450769,0.048989437,0.048989437
57,1.982149092,0.055193584,0.055193584
58,2.164304226,0.059915371,0.059915371
59,2.117403153,0.059026262,0.059026262
60,2.194012534,0.059500245,0.059500245
61,2.301394534,0.069299866,0.069299866
62,2.379725501,0.07824082,0.07824082
63,2.390239749,0.085145006,0.085145006
64,2.364813509,0.085483417,0.085483417
65,2.34614037,0.083429879,0.083429879
66,2.372031614,0.079394794,0.079394794
67,2.356547478,0.082205085,0.082205085
68,2.245051815,0.07673327,0.07673327
69,2.141507847,0.073149465,0.073149465
70,2.053496502,0.074483798,0.074483798
71,1.984355664,0.082456133,0.082456133
72,1.793023002,0.080400106,0.080400106
73,1.796959932,0.07990692,0.07990692
74,1.738445219,0.073716906,0.073716906
75,1.717762788,0.071335935,0.071335935
76,1.683600056,0.069060444,0.069060444
77,1.715162366,0.074347657,0.074347657
78,1.757600909,0.080045031,0.080045031
79,1.767907387,0.080922024,0.080922024
80,1.836131308,0.088889711,0.088889711
81,1.929859242,0.098936489,0.098936489
82,1.932609305,0.098365677,0.098365677
83,1.896963296,0.092607335,0.092607335
84,1.861640903,0.088009396,0.088009396
85,1.859850927,0.087230765,0.087230765
86,1.897879911,0.082174221,0.082174221
87,1.878029095,0.072990911,0.072990911
88,1.85556421,0.071757631,0.071757631
89,1.874068358,0.066228082,0.066228082
90,1.843834027,0.068901753,0.068901753
91,1.792777377,0.069185596,0.069185596
92,1.782382195,0.071132507,0.071132507
93,1.753263709,0.066412906,0.066412906
94,1.760694956,0.065802349,0.065802349
95,1.712904877,0.059701983,0.059701983
96,1.580540338,0.04379499,0.04379499
97,1.676892668,0.055210741,0.055210741
98,1.732070197,0.061016182,0.061016182
99,1.732414047,0.059244042,0.059244042
100,1.643354036,0.050802256,0.050802256
101,1.577192036,0.042137641,0.042137641
102,1.598196,0.045848778,0.045848778
103,1.657577505,0.054015838,0.054015838
104,1.63600034,0.053540482,0.053540482
105,1.662466457,0.057138103,0.057138103
106,1.708528365,0.062303092,0.062303092
107,1.684985406,0.061543876,0.061543876
108,1.701969004,0.067167312,0.067167312
109,1.763953513,0.078526531,0.078526531
110,1.783901066,0.08266185,0.08266185
111,1.846261498,0.092411951,0.092411951
112,1.885594762,0.097489505,0.097489505
113,1.810397478,0.090452851,0.090452851
114,1.765380514,0.084799667,0.084799667
115,1.681905965,0.076210314,0.076210314
116,1.678129665,0.074595236,0.074595236
117,1.743429541,0.080813172,0.080813172
118,1.806156913,0.086526971,0.086526971
119,1.789405422,0.085070456,0.085070456
120,1.694653132,0.07424327,0.07424327
121,1.72045965,0.079284983,0.079284983
122,1.673890225,0.073893984,0.073893984
123,1.6356853,0.07057254,0.07057254
124,1.622556413,0.067957597,0.067957597
125,1.714153137,0.07822101,0.07822101
126,1.771950685,0.084441112,0.084441112
127,1.850852384,0.093504607,0.093504607
128,1.918385557,0.101923763,0.101923763
129,1.949031285,0.106795972,0.106795972
130,2.021020476,0.112966381,0.112966381
131,1.991542924,0.110119773,0.110119773
132,1.84273503,0.094331415,0.094331415
133,1.813780376,0.091926294,0.091926294
134,1.799002014,0.088808042,0.088808042
135,1.773983304,0.085450153,0.085450153
136,1.779225118,0.086313932,0.086313932
137,1.914572857,0.101187762,0.101187762
138,1.914608301,0.099143557,0.099143557
139,1.928658491,0.097427237,0.097427237
140,1.871764243,0.088064787,0.088064787
141,1.775492248,0.073913289,0.073913289
142,1.735190246,0.066626686,0.066626686
143,1.655370323,0.056618056,0.056618056
144,1.57065885,0.046855107,0.046855107
145,1.691259807,0.060746287,0.060746287
146,1.693534461,0.06119398,0.06119398
147,1.635252878,0.054229067,0.054229067
148,1.597650425,0.05098281,0.05098281
149,1.575572647,0.049521875,0.049521875
150,1.532939239,0.043408719,0.043408719
151,1.528835261,0.042532712,0.042532712
152,1.523428528,0.041689682,0.041689682
153,1.527887002,0.044221438,0.044221438
154,1.51766151,0.044378065,0.044378065
155,1.528418777,0.04786106,0.04786106
156,1.577545565,0.056143296,0.056143296
157,1.590877444,0.061233061,0.061233061
158,1.639570805,0.067585777,0.067585777
159,1.653169127,0.072067809,0.072067809
160,1.689025687,0.077451901,0.077451901
161,1.744920092,0.084483271,0.084483271
162,1.82567805,0.095132934,0.095132934
163,1.841300319,0.096873386,0.096873386
164,1.805149429,0.094199221,0.094199221
165,1.778854137,0.092883477,0.092883477
166,1.768304343,0.090954422,0.090954422
167,1.750775874,0.089499204,0.089499204
168,1.766738407,0.088284501,0.088284501
169,1.817618773,0.093855349,0.093855349
170,1.887908411,0.09746771,0.09746771
171,1.999908936,0.102305331,0.102305331
172,2.023457251,0.097588542,0.097588542
173,1.982161921,0.094500748,0.094500748
174,2.153299143,0.089912028,0.089912028
175,2.198867736,0.097774595,0.097774595
176,2.260630965,0.108581574,0.108581574
177,2.305997605,0.120847397,0.120847397
178,2.266538988,0.125030549,0.125030549
179,2.26118979,0.128247575,0.128247575
180,2.167575594,0.115506736,0.115506736
181,2.136764263,0.108918647,0.108918647
182,2.09643098,0.103314202,0.103314202
183,2.160104925,0.099419843,0.099419843
184,2.190725452,0.094446595,0.094446595
185,2.311249189,0.09713468,0.09713468
186,2.14775185,0.090433443,0.090433443
187,1.973587705,0.083604758,0.083604758
188,1.834053069,0.073067912,0.073067912
189,1.737521451,0.06409717,0.06409717
190,1.709918699,0.0588878,0.0588878
191,1.648263207,0.051252015,0.051252015
192,1.702073409,0.057002052,0.057002052
193,1.734914445,0.059439,0.059439
194,1.708147588,0.054749327,0.054749327
195,1.75180147,0.057882575,0.057882575
196,1.857711837,0.063280513,0.063280513
197,2.098130254,0.059668206,0.059668206
198,2.163869347,0.051686889,0.051686889
199,2.082111822,0.048932951,0.048932951
200,2.000002748,0.042713376,0.042713376
201,1.989296044,0.041219968,0.041219968
202,1.86174403,0.028849749,0.028849749
203,1.990381621,0.037741818,0.037741818
204,2.041495312,0.041958946,0.041958946
205,2.021044378,0.049310571,0.049310571
206,2.026977045,0.053673348,0.053673348
207,2.19183649,0.062298663,0.062298663
208,2.11418057,0.05949745,0.05949745
209,2.106806834,0.068509986,0.068509986
210,2.078042068,0.067764023,0.067764023
211,2.039348456,0.071561327,0.071561327
212,2.087192395,0.071311575,0.071311575
213,2.071935702,0.072288161,0.072288161
214,2.091211563,0.070180971,0.070180971
215,2.078099,0.070419148,0.070419148
216,2.264984271,0.071403119,0.071403119
217,2.155491817,0.072838025,0.072838025
218,2.205290451,0.071250163,0.071250163
219,2.083239515,0.073550112,0.073550112
220,2.008078212,0.067585978,0.067585978
221,2.061712589,0.065216882,0.065216882
222,2.085803969,0.058549268,0.058549268
223,1.978888189,0.063439277,0.063439277
224,1.783051455,0.068813841,0.068813841
225,1.84322878,0.07764894,0.07764894
226,1.838600041,0.078449119,0.078449119
227,1.802521659,0.075283992,0.075283992
228,1.756900661,0.070612746,0.070612746
229,1.755625694,0.06977844,0.06977844
230,1.672848754,0.059537532,0.059537532
231,1.661083643,0.057639361,0.057639361
232,1.611799466,0.051607328,0.051607328
233,1.610615631,0.05020898,0.05020898
234,1.644719266,0.052219299,0.052219299
235,1.682866682,0.05516062,0.05516062
236,1.738256677,0.062492913,0.062492913
237,1.703100286,0.056031015,0.056031015
238,1.739237247,0.059551649,0.059551649
239,1.731059066,0.057727474,0.057727474
240,1.857397723,0.073991888,0.073991888
241,2.059602076,0.075744642,0.075744642
242,2.139602686,0.07684293,0.07684293
243,2.189098229,0.084036622,0.084036622
244,2.098891761,0.089240371,0.089240371
245,2.088833089,0.088555319,0.088555319
246,2.079112692,0.099416984,0.099416984
247,2.150376587,0.103893327,0.103893327
248,2.002327131,0.103497955,0.103497955
249,1.963933512,0.098055785,0.098055785
250,2.025101926,0.099451192,0.099451192
251,2.030203306,0.110496552,0.110496552
252,2.013678369,0.110712285,0.110712285
253,1.983628422,0.109108928,0.109108928
254,1.972112079,0.108877914,0.108877914
255,2.059651917,0.113556417,0.113556417
256,2.123483387,0.118617987,0.118617987
257,2.170343712,0.110151451,0.110151451
258,2.106424462,0.096090005,0.096090005
259,2.198418809,0.093263821,0.093263821
260,2.240499161,0.093309977,0.093309977
261,2.191751043,0.08368587,0.08368587
262,2.208612506,0.088160042,0.088160042
263,2.186625881,0.091171092,0.091171092
264,2.279035695,0.096556908,0.096556908
265,2.323863493,0.088997944,0.088997944
266,2.339991142,0.085324709,0.085324709
267,2.292387076,0.086989338,0.086989338
268,2.345878801,0.086919202,0.086919202
269,2.359511293,0.085050709,0.085050709
270,2.346751268,0.09446916,0.09446916
271,2.439854382,0.100694308,0.100694308
272,2.51106754,0.10930835,0.10930835
273,2.597125651,0.125161783,0.125161783
274,2.555574418,0.129771662,0.129771662
275,2.564551613,0.136128913,0.136128913
276,2.565173542,0.13235003,0.13235003
277,2.524405652,0.126862018,0.126862018
278,2.470353675,0.12112368,0.12112368
279,2.390574089,0.111984655,0.111984655
280,2.372295099,0.109472988,0.109472988
281,2.374213478,0.100115864,0.100115864
282,2.326574586,0.098707909,0.098707909
283,2.298606309,0.090616982,0.090616982
284,1.81005022,0.076898255,0.076898255
285,1.826537192,0.074538958,0.074538958
286,1.752254406,0.066225203,0.066225203
287,1.650507244,0.053214711,0.053214711
288,1.671494841,0.055041591,0.055041591
289,1.636775526,0.051598591,0.051598591
290,1.593496284,0.047536614,0.047536614
291,1.593532219,0.046722732,0.046722732
292,1.46387021,0.032593777,0.032593777
293,1.536868387,0.039486655,0.039486655
294,1.532189308,0.038783857,0.038783857
295,1.621544117,0.046409325,0.046409325
296,1.637780904,0.047460577,0.047460577
297,1.676815153,0.04950252,0.04950252
298,1.632728036,0.044481837,0.044481837
299,1.626593465,0.043735552,0.043735552
300,1.610774776,0.043866085,0.043866085
301,1.591266305,0.043482544,0.043482544
302,1.502469921,0.035458158,0.035458158
303,1.460710209,0.030912034,0.030912034
304,1.505095669,0.037054351,0.037054351
305,1.610485758,0.049110342,0.049110342
306,1.648512437,0.053365458,0.053365458
307,1.674507756,0.056679316,0.056679316
308,1.586683836,0.045921264,0.045921264
309,1.530923043,0.040193943,0.040193943
310,1.470887801,0.033292111,0.033292111
311,1.431717161,0.028429128,0.028429128
312,1.450720492,0.032140384,0.032140384
313,1.489098546,0.035253392,0.035253392
314,1.498395473,0.037208332,0.037208332
315,1.458342052,0.033512553,0.033512553
316,1.509135385,0.039708499,0.039708499
317,1.499109634,0.039673633,0.039673633
318,1.477478832,0.038011009,0.038011009
319,1.492825515,0.040538204,0.040538204
320,1.524138608,0.044964918,0.044964918
321,1.638053924,0.05865897,0.05865897
322,1.649452892,0.059695996,0.059695996
323,1.644352112,0.059172856,0.059172856
324,1.562707586,0.050053525,0.050053525
325,1.488897141,0.040322196,0.040322196
326,1.440816565,0.034123784,0.034123784
327,1.476610654,0.037792737,0.037792737
328,1.511194599,0.041463545,0.041463545
329,1.561455589,0.04521222,0.04521222
330,1.56451563,0.044525826,0.044525826
331,1.578314336,0.044793235,0.044793235
332,1.56203732,0.043478675,0.043478675
333,1.653542865,0.052041246,0.052041246
334,1.602355678,0.04613762,0.04613762
335,1.543227503,0.039988661,0.039988661
336,1.574561694,0.042875212,0.042875212
337,1.579474523,0.044075589,0.044075589
338,1.578638622,0.044437791,0.044437791
339,1.559519644,0.041381065,0.041381065
340,1.542116011,0.038059619,0.038059619
341,1.515893031,0.03353012,0.03353012
342,1.485344846,0.027574642,0.027574642
343,1.486534378,0.027585096,0.027585096
344,1.524996881,0.030039798,0.030039798
345,1.554614526,0.03433447,0.03433447
346,1.591895864,0.039342898,0.039342898
347,1.63397267,0.046023874,0.046023874
348,1.643850413,0.050092406,0.050092406
349,1.622570893,0.050792157,0.050792157
350,1.685239858,0.062143221,0.062143221
351,1.710783729,0.066333391,0.066333391
352,1.738026188,0.06987391,0.06987391
353,1.771862223,0.075641491,0.075641491
354,1.720005034,0.07056798,0.07056798
355,1.652800382,0.061383817,0.061383817
356,1.670780445,0.063792626,0.063792626
357,1.655493173,0.061661229,0.061661229
358,1.642439625,0.060033357,0.060033357
359,1.589747918,0.053903446,0.053903446
360,1.580274208,0.052763119,0.052763119
