event_count,decile,day_name,day_wk_mon1,simple_labels2_based_on_900k_sample,median_event_volume,mean_event_volume,median_dur,mean_dur
10.792,1,Monday,1,0_small_tap,1.493480231,1.650355699,17.29689559,17.92586384
1.295,1,Monday,1,1_long_tap,9.282702931,9.722355186,101.2968956,104.8098181
0.283,1,Monday,1,2_shower,28.90613746,31.67611871,321.2968956,331.5256061
0.094104803,1,Monday,1,3_bath,56.59155365,59.56658015,645.2968956,647.1739906
0.056,1,Monday,1,2b_shower_big,82.0946861,89.70304646,958.2968956,1079.668577
10.513,1,Tuesday,2,0_small_tap,1.507154186,1.659835744,17.29689559,17.94768924
1.236,1,Tuesday,2,1_long_tap,9.133357585,9.702796144,100.2968956,104.4655464
0.279,1,Tuesday,2,2_shower,28.19945948,30.52680304,317.2968956,325.412945
0.094323144,1,Tuesday,2,3_bath,56.39650426,61.19245734,649.2968956,651.8198841
0.063,1,Tuesday,2,2b_shower_big,84.75453591,91.96954681,988.2968956,1086.361711
10.086,1,Wednesday,3,0_small_tap,1.479597075,1.644721689,17.29689559,17.89411781
1.192,1,Wednesday,3,1_long_tap,9.282205263,9.747043178,101.2968956,104.8714483
0.28,1,Wednesday,3,2_shower,27.80657109,30.01790163,315.2968956,324.5475039
0.091266376,1,Wednesday,3,3_bath,56.61450054,59.69287367,638.2968956,644.7426099
0.06,1,Wednesday,3,2b_shower_big,80.57593689,92.98071071,962.2968956,1085.840585
10.143,1,Thursday,4,0_small_tap,1.52475865,1.657216732,17.29689559,17.98935591
1.192,1,Thursday,4,1_long_tap,9.413777352,9.788766822,102.2968956,104.7650231
0.273,1,Thursday,4,2_shower,28.60092977,30.74140759,319.2968956,327.8896667
0.091484716,1,Thursday,4,3_bath,55.64364135,58.39825513,639.2968956,644.4573234
0.063,1,Thursday,4,2b_shower_big,83.38339152,92.15030169,962.2968956,1063.816504
10.427,1,Friday,5,0_small_tap,1.485837643,1.649542938,17.29689559,17.94570511
1.216,1,Friday,5,1_long_tap,9.310657962,9.671413972,101.2968956,104.3405464
0.283,1,Friday,5,2_shower,28.24304445,30.46730276,321.2968956,330.8845499
0.094104803,1,Friday,5,3_bath,56.04402469,60.30695769,649.2968956,654.5024512
0.057,1,Friday,5,2b_shower_big,83.9249703,91.46657112,949.7968956,1028.218465
10.734,1,Saturday,6,0_small_tap,1.46975468,1.637475965,17.29689559,17.81276861
1.276,1,Saturday,6,1_long_tap,9.389726561,9.681356571,101.2968956,104.2869552
0.277,1,Saturday,6,2_shower,28.78812116,30.39412403,319.2968956,327.5356663
0.090829694,1,Saturday,6,3_bath,57.52548055,60.12968246,643.2968956,647.7419218
0.06,1,Saturday,6,2b_shower_big,83.9903747,89.54564648,968.2968956,1045.715699
11.295,1,Sunday,7,0_small_tap,1.491497998,1.644240223,17.29689559,17.91395908
1.368,1,Sunday,7,1_long_tap,9.390734064,9.713927334,101.7968956,104.5211019
0.301,1,Sunday,7,2_shower,28.15413547,30.39301182,322.2968956,328.3907923
0.106113537,1,Sunday,7,3_bath,55.17280562,59.99421432,645.2968956,644.3749444
0.089,1,Sunday,7,2b_shower_big,83.5174353,89.66668786,962.7968956,1037.652665
15.147,2,Monday,1,0_small_tap,1.37669871,1.53042734,16.18524648,16.9707618
1.685,2,Monday,1,1_long_tap,9.554560823,9.855013153,105.1852465,106.3941601
0.448,2,Monday,1,2_shower,30.1619412,32.67011784,337.1852465,342.7622858
0.137772926,2,Monday,1,3_bath,58.34342314,61.7980726,637.1852465,640.2932277
0.067,2,Monday,1,2b_shower_big,86.58202196,92.30436362,992.1852465,1095.596536
14.762,2,Tuesday,2,0_small_tap,1.394356036,1.529699456,16.18524648,16.97633283
1.646,2,Tuesday,2,1_long_tap,9.479218503,9.851399313,105.1852465,106.7785613
0.455,2,Tuesday,2,2_shower,30.31637289,32.96718468,337.1852465,343.5936549
0.143449782,2,Tuesday,2,3_bath,60.50338705,63.59815076,645.1852465,646.438835
0.067,2,Tuesday,2,2b_shower_big,89.08418778,99.37904138,1023.685246,1114.136859
14.242,2,Wednesday,3,0_small_tap,1.384449794,1.532717819,16.18524648,16.98190386
1.606,2,Wednesday,3,1_long_tap,9.490905755,9.827553475,105.1852465,106.9289791
0.458,2,Wednesday,3,2_shower,30.12758995,33.2143189,340.1852465,343.6668416
0.142576419,2,Wednesday,3,3_bath,59.01698425,62.08577562,642.1852465,643.7391681
0.061,2,Wednesday,3,2b_shower_big,83.11531903,90.35664237,971.1852465,1071.743217
14.25,2,Thursday,4,0_small_tap,1.399171835,1.529361733,16.18524648,16.98692246
1.6,2,Thursday,4,1_long_tap,9.474458128,9.871065818,104.1852465,106.871521
0.444,2,Thursday,4,2_shower,30.87872717,33.84864891,341.6852465,346.7274152
0.140829694,2,Thursday,4,3_bath,61.41082097,64.16870578,646.1852465,646.343386
0.073,2,Thursday,4,2b_shower_big,88.46922973,94.55852546,964.6852465,1073.639791
14.654,2,Friday,5,0_small_tap,1.379182509,1.519286545,16.18524648,16.85098464
1.625,2,Friday,5,1_long_tap,9.556060947,9.841908917,104.1852465,107.1852465
0.456,2,Friday,5,2_shower,29.9465517,33.19841586,339.1852465,343.3954567
0.142139738,2,Friday,5,3_bath,59.82247275,62.12589512,635.1852465,641.4801774
0.071,2,Friday,5,2b_shower_big,93.02763647,94.00773216,1009.685246,1082.496721
15.206,2,Saturday,6,0_small_tap,1.375966316,1.509477814,16.18524648,16.8137381
1.69,2,Saturday,6,1_long_tap,9.447016213,9.744160103,104.1852465,106.2771685
0.447,2,Saturday,6,2_shower,30.16906382,32.78055602,336.1852465,343.4910569
0.142358079,2,Saturday,6,3_bath,59.35434604,62.30241102,647.1852465,646.3096705
0.079,2,Saturday,6,2b_shower_big,87.71411918,93.21663256,942.6852465,1047.888371
16.234,2,Sunday,7,0_small_tap,1.400873387,1.525798484,16.18524648,16.94290665
1.811,2,Sunday,7,1_long_tap,9.405199838,9.784638238,105.1852465,106.6894248
0.495,2,Sunday,7,2_shower,30.40240712,33.30229713,342.1852465,347.810995
0.156768559,2,Sunday,7,3_bath,60.46482742,63.31126068,646.1852465,645.6173453
