Half_hour,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,1.231068949,1.159476875,1.159476875,1.159476875,1.159476875,1.167305244,1.238897318
1,1.143002284,1.077109745,1.077109745,1.077109745,1.077109745,1.084587818,1.150480357
2,1.054935619,0.994742615,0.994742615,0.994742615,0.994742615,1.001870392,1.062063395
3,0.978332863,0.922909527,0.922909527,0.922909527,0.922909527,0.928267445,0.983690781
4,0.901730107,0.851076438,0.851076438,0.851076438,0.851076438,0.854664498,0.905318167
5,0.837281482,0.790633002,0.790633002,0.790633002,0.790633002,0.792373938,0.839022419
6,0.772832857,0.730189565,0.730189565,0.730189565,0.730189565,0.730083379,0.77272667
7,0.715526911,0.676281784,0.676281784,0.676281784,0.676281784,0.676556191,0.715801318
8,0.658220964,0.622374003,0.622374003,0.622374003,0.622374003,0.623029004,0.658875966
9,0.615167267,0.582145621,0.582145621,0.582145621,0.582145621,0.581060566,0.614082211
10,0.57211357,0.54191724,0.54191724,0.54191724,0.54191724,0.539092127,0.569288457
11,0.561116883,0.533052234,0.533052234,0.533052234,0.533052234,0.513140402,0.541205051
12,0.550120197,0.524187228,0.524187228,0.524187228,0.524187228,0.487188677,0.513121645
13,0.579278775,0.555001266,0.555001266,0.555001266,0.555001266,0.494862527,0.519140036
14,0.608437353,0.585815304,0.585815304,0.585815304,0.585815304,0.502536377,0.525158427
15,0.645010965,0.62418854,0.62418854,0.62418854,0.62418854,0.547534602,0.568357027
16,0.681584577,0.662561777,0.662561777,0.662561777,0.662561777,0.592532827,0.611555627
17,0.719634786,0.702346038,0.702346038,0.702346038,0.702346038,0.652016295,0.669305043
18,0.757684995,0.742130299,0.742130299,0.742130299,0.742130299,0.711499764,0.72705446
19,0.790305019,0.776291238,0.776291238,0.776291238,0.776291238,0.76752214,0.781535921
20,0.822925043,0.810452177,0.810452177,0.810452177,0.810452177,0.823544516,0.836017382
21,0.846351517,0.83523338,0.83523338,0.83523338,0.83523338,0.870483553,0.88160169
22,0.869777991,0.860014583,0.860014583,0.860014583,0.860014583,0.917422589,0.927185997
23,0.889576185,0.880931508,0.880931508,0.880931508,0.880931508,0.955662798,0.964307475
24,0.909374378,0.901848432,0.901848432,0.901848432,0.901848432,0.993903007,1.001428953
25,0.928043352,0.921360641,0.921360641,0.921360641,0.921360641,1.021742202,1.028424913
26,0.946712325,0.940872849,0.940872849,0.940872849,0.940872849,1.049581398,1.055420874
27,0.964036855,0.958929089,0.958929089,0.958929089,0.958929089,1.076088484,1.08119625
28,0.981361385,0.976985328,0.976985328,0.976985328,0.976985328,1.10259557,1.106971627
29,1.000995448,0.997251609,0.997251609,0.997251609,0.997251609,1.13105135,1.13479519
30,1.020629512,1.01751789,1.01751789,1.01751789,1.01751789,1.15950713,1.162618752
31,1.048295609,1.045726311,1.045726311,1.045726311,1.045726311,1.195286556,1.197855854
32,1.075961706,1.073934732,1.073934732,1.073934732,1.073934732,1.231065981,1.233092955
33,1.11325016,1.111647658,1.111647658,1.111647658,1.111647658,1.273125114,1.274727615
34,1.150538614,1.149360585,1.149360585,1.149360585,1.149360585,1.315184247,1.316362275
35,1.197738191,1.196832059,1.196832059,1.196832059,1.196832059,1.360867786,1.361773918
36,1.244937769,1.244303533,1.244303533,1.244303533,1.244303533,1.406551325,1.407185561
37,1.293008499,1.292484215,1.292484215,1.292484215,1.292484215,1.445632762,1.446157046
38,1.341079229,1.340664898,1.340664898,1.340664898,1.340664898,1.484714199,1.48512853
39,1.392540387,1.39211094,1.39211094,1.39211094,1.39211094,1.521624006,1.522053453
40,1.444001544,1.443556983,1.443556983,1.443556983,1.443556983,1.558533814,1.558978375
41,1.480889577,1.480478927,1.480478927,1.480478927,1.480478927,1.586216108,1.586626758
42,1.517777609,1.517400871,1.517400871,1.517400871,1.517400871,1.613898403,1.614275141
43,1.502442359,1.502133595,1.502133595,1.502133595,1.502133595,1.593386819,1.593695583
44,1.48710711,1.48686632,1.48686632,1.48686632,1.48686632,1.572875236,1.573116026
45,1.413448647,1.413328252,1.413328252,1.413328252,1.413328252,1.498974342,1.499094737
46,1.339790184,1.339790184,1.339790184,1.339790184,1.339790184,1.425073449,1.425073449
47,1.249633529,1.249633529,1.249633529,1.249633529,1.253547714,1.331985383,1.328071199
