timestep,Standard Tariff,7-Hour Off Peak Tariff,10-Hour Off Peak Tariff,Variable Time of Day Tariff
0,25.16,14.6,16.04,10.87017271
1,25.16,14.6,16.04,9.732400651
2,25.16,14.6,16.04,14.51889127
3,25.16,14.6,16.04,9.338661214
4,25.16,14.6,16.04,20.43413411
5,25.16,14.6,16.04,19.93178826
6,25.16,14.6,16.04,19.32618256
7,25.16,14.6,16.04,13.9155867
8,25.16,14.6,16.04,9.736881658
9,25.16,14.6,16.04,9.208054245
10,25.16,14.6,16.04,16.91548718
11,25.16,14.6,16.04,22.41268954
12,25.16,14.6,16.04,23.6179491
13,25.16,14.6,16.04,31.1047283
14,25.16,29.8,35.01,29.88704233
15,25.16,29.8,35.01,27.55174451
16,25.16,29.8,35.01,23.00840242
17,25.16,29.8,35.01,18.66786514
18,25.16,29.8,35.01,30.41279889
19,25.16,29.8,35.01,28.78117742
20,25.16,29.8,35.01,23.44323722
21,25.16,29.8,35.01,29.33799627
22,25.16,29.8,35.01,17.43888831
23,25.16,29.8,35.01,23.91911304
24,25.16,29.8,35.01,22.12045065
25,25.16,29.8,35.01,21.87635462
26,25.16,29.8,35.01,21.86625096
27,25.16,29.8,16.04,17.90196632
28,25.16,29.8,16.04,11.2382545
29,25.16,29.8,16.04,9.187361554
30,25.16,29.8,16.04,23.48961638
31,25.16,29.8,16.04,17.1810246
32,25.16,29.8,16.04,22.93001543
33,25.16,29.8,35.01,17.93222412
34,25.16,29.8,35.01,13.85162083
35,25.16,29.8,35.01,20.46212748
36,25.16,29.8,35.01,24.38169849
37,25.16,29.8,35.01,16.10354781
38,25.16,29.8,35.01,15.38274628
39,25.16,29.8,35.01,23.03075519
40,25.16,29.8,35.01,18.50268266
41,25.16,29.8,35.01,19.77413909
42,25.16,29.8,35.01,14.44384225
43,25.16,29.8,35.01,27.73635516
44,25.16,29.8,35.01,13.79588583
45,25.16,29.8,35.01,4.942060591
46,25.16,29.8,35.01,14.34646657
47,25.16,29.8,35.01,19.05457804
48,25.16,14.6,16.04,10.54450423
49,25.16,14.6,16.04,9.440819621
50,25.16,14.6,16.04,14.08390781
51,25.16,14.6,16.04,9.058876548
52,25.16,14.6,16.04,19.82193101
53,25.16,14.6,16.04,19.33463535
54,25.16,14.6,16.04,18.74717349
55,25.16,14.6,16.04,13.49867814
56,25.16,14.6,16.04,9.445166377
57,25.16,14.6,16.04,8.932182542
58,25.16,14.6,16.04,16.40870212
59,25.16,14.6,16.04,21.74120926
60,25.16,14.6,16.04,22.75258402
61,25.16,14.6,16.04,29.96504654
62,25.16,29.8,35.01,28.79197677
63,25.16,29.8,35.01,26.5422446
64,25.16,29.8,35.01,22.16537122
65,25.16,29.8,35.01,17.98387186
66,25.16,29.8,35.01,29.29846953
67,25.16,29.8,35.01,27.7266309
68,25.16,29.8,35.01,22.58427361
69,25.16,29.8,35.01,28.26304784
70,25.16,29.8,35.01,16.79992492
71,25.16,29.8,35.01,23.04271327
72,25.16,29.8,35.01,21.30995413
73,25.16,29.8,35.01,21.07480182
74,25.16,29.8,35.01,21.06506835
75,25.16,29.8,16.04,17.24603568
76,25.16,29.8,16.04,10.82648322
77,25.16,29.8,16.04,8.850735294
78,25.16,29.8,16.04,22.62895343
79,25.16,29.8,16.04,16.55150937
80,25.16,29.8,16.04,22.08985634
81,25.16,29.8,35.01,17.27518483
82,25.16,29.8,35.01,13.34409544
83,25.16,29.8,35.01,19.71239216
84,25.16,29.8,35.01,23.48834952
85,25.16,29.8,35.01,15.51351149
86,25.16,29.8,35.01,14.81912023
87,25.16,29.8,35.01,22.18690498
88,25.16,29.8,35.01,17.82474169
89,25.16,29.8,35.01,19.04961176
90,25.16,29.8,35.01,13.91461777
91,25.16,29.8,35.01,26.72009108
92,25.16,29.8,35.01,13.38256349
93,25.16,29.8,35.01,4.793997315
94,25.16,29.8,35.01,13.91664893
95,25.16,29.8,35.01,18.48370619
96,25.16,14.6,16.04,10.60363702
97,25.16,14.6,16.04,9.493763032
98,25.16,14.6,16.04,14.16288931
99,25.16,14.6,16.04,9.109678052
100,25.16,14.6,16.04,19.93309092
101,25.16,14.6,16.04,19.44306254
102,25.16,14.6,16.04,18.85230624
103,25.16,14.6,16.04,13.57437772
104,25.16,14.6,16.04,9.498134165
105,25.16,14.6,16.04,8.982273555
106,25.16,14.6,16.04,16.5007209
107,25.16,14.6,16.04,21.86313234
108,25.16,14.6,16.04,22.90971146
109,25.16,14.6,16.04,30.17198264
110,25.16,29.8,35.01,28.99081174
111,25.16,29.8,35.01,26.72554311
112,25.16,29.8,35.01,22.31844341
113,25.16,29.8,35.01,18.10806697
114,25.16,29.8,35.01,29.5008023
115,25.16,29.8,35.01,27.91810869
116,25.16,29.8,35.01,22.74023871
117,25.16,29.8,35.01,28.45823007
118,25.16,29.8,35.01,16.91594379
119,25.16,29.8,35.01,23.20184431
120,25.16,29.8,35.01,21.45711889
121,25.16,29.8,35.01,21.22034263
122,25.16,29.8,35.01,21.21054194
123,25.16,29.8,16.04,17.36513535
124,25.16,29.8,16.04,10.90125001
125,25.16,29.8,16.04,8.911857729
126,25.16,29.8,16.04,22.78522709
127,25.16,29.8,16.04,16.6658127
128,25.16,29.8,16.04,22.24240704
129,25.16,29.8,35.01,17.39448581
130,25.16,29.8,35.01,13.43624864
131,25.16,29.8,35.01,19.84852428
132,25.16,29.8,35.01,23.65055809
133,25.16,29.8,35.01,15.62064649
134,25.16,29.8,35.01,14.92145983
135,25.16,29.8,35.01,22.34012588
136,25.16,29.8,35.01,17.94783786
137,25.16,29.8,35.01,19.18116678
138,25.16,29.8,35.01,14.01071096
139,25.16,29.8,35.01,26.90461779
140,25.16,29.8,35.01,13.45761191
141,25.16,29.8,35.01,4.820881694
142,25.16,29.8,35.01,13.99469246
143,25.16,29.8,35.01,18.58736144
144,25.16,14.6,16.04,10.86882389
145,25.16,14.6,16.04,9.73119301
146,25.16,14.6,16.04,14.51708969
147,25.16,14.6,16.04,9.33750243
148,25.16,14.6,16.04,20.43159855
149,25.16,14.6,16.04,19.92931503
150,25.16,14.6,16.04,19.32378448
151,25.16,14.6,16.04,13.91385999
152,25.16,14.6,16.04,9.735673461
153,25.16,14.6,16.04,9.206911668
154,25.16,14.6,16.04,16.91338823
155,25.16,14.6,16.04,22.40990848
156,25.16,14.6,16.04,23.61436502
157,25.16,14.6,16.04,31.10000808
158,25.16,29.8,35.01,29.8825069
159,25.16,29.8,35.01,27.54756347
160,25.16,29.8,35.01,23.00491083
161,25.16,29.8,35.01,18.66503225
162,25.16,29.8,35.01,30.40818367
163,25.16,29.8,35.01,28.7768098
164,25.16,29.8,35.01,23.43967965
165,25.16,29.8,35.01,29.33354416
166,25.16,29.8,35.01,17.43624192
167,25.16,29.8,35.01,23.91548325
168,25.16,29.8,35.01,22.11709382
169,25.16,29.8,35.01,21.87303483
170,25.16,29.8,35.01,21.8629327
171,25.16,29.8,16.04,17.89924965
172,25.16,29.8,16.04,11.23654906
173,25.16,29.8,16.04,9.185967349
174,25.16,29.8,16.04,23.48605178
175,25.16,29.8,16.04,17.17841734
176,25.16,29.8,16.04,22.92653575
177,25.16,29.8,35.01,17.92950286
178,25.16,29.8,35.01,13.84951881
179,25.16,29.8,35.01,20.4590223
180,25.16,29.8,35.01,24.37799851
181,25.16,29.8,35.01,16.10110406
182,25.16,29.8,35.01,15.38041191
183,25.16,29.8,35.01,23.02726021
184,25.16,29.8,35.01,18.49987484
185,25.16,29.8,35.01,19.77113831
186,25.16,29.8,35.01,14.44165036
187,25.16,29.8,35.01,27.7321461
188,25.16,29.8,35.01,13.79417397
189,25.16,29.8,35.01,4.941447357
190,25.16,29.8,35.01,14.34468639
191,25.16,29.8,35.01,19.05221366
192,25.16,14.6,16.04,10.98912881
193,25.16,14.6,16.04,9.838905712
194,25.16,14.6,16.04,14.67777656
195,25.16,14.6,16.04,9.440857446
196,25.16,14.6,16.04,20.65775198
197,25.16,14.6,16.04,20.14990878
198,25.16,14.6,16.04,19.53767572
199,25.16,14.6,16.04,14.06786983
200,25.16,14.6,16.04,9.843435755
201,25.16,14.6,16.04,9.3088212
202,25.16,14.6,16.04,17.10059926
203,25.16,14.6,16.04,22.65795944
204,25.16,14.6,16.04,23.9340388
205,25.16,14.6,16.04,31.52101695
206,25.16,29.8,35.01,30.28703414
207,25.16,29.8,35.01,27.92048197
208,25.16,29.8,35.01,23.31633427
209,25.16,29.8,35.01,18.91770563
210,25.16,29.8,35.01,30.81982713
211,25.16,29.8,35.01,29.16636893
212,25.16,29.8,35.01,23.75698867
213,25.16,29.8,35.01,29.73063995
214,25.16,29.8,35.01,17.67228084
215,25.16,29.8,35.01,24.23923335
216,25.16,29.8,35.01,22.41649865
217,25.16,29.8,35.01,22.16913578
218,25.16,29.8,35.01,22.15889689
219,25.16,29.8,16.04,18.14155643
220,25.16,29.8,16.04,11.38866114
221,25.16,29.8,16.04,9.31032017
222,25.16,29.8,16.04,23.80398855
223,25.16,29.8,16.04,17.41096603
224,25.16,29.8,16.04,23.2368982
225,25.16,29.8,35.01,18.17221919
226,25.16,29.8,35.01,14.03700334
227,25.16,29.8,35.01,20.73598138
228,25.16,29.8,35.01,24.70800979
229,25.16,29.8,35.01,16.31906888
230,25.16,29.8,35.01,15.58862053
231,25.16,29.8,35.01,23.3389862
232,25.16,29.8,35.01,18.75031244
233,25.16,29.8,35.01,20.03878534
234,25.16,29.8,35.01,14.63715072
235,25.16,29.8,35.01,28.10756335
236,25.16,29.8,35.01,13.94685903
237,25.16,29.8,35.01,4.996143286
238,25.16,29.8,35.01,14.50346497
239,25.16,29.8,35.01,19.26309894
240,25.16,14.6,16.04,10.49000655
241,25.16,14.6,16.04,9.392026171
242,25.16,14.6,16.04,14.01111726
243,25.16,14.6,16.04,9.012057113
244,25.16,14.6,16.04,19.71948435
245,25.16,14.6,16.04,19.23470721
246,25.16,14.6,16.04,18.65028156
247,25.16,14.6,16.04,13.42891226
248,25.16,14.6,16.04,9.396350462
249,25.16,14.6,16.04,8.886017906
250,25.16,14.6,16.04,16.32389623
251,25.16,14.6,16.04,21.62884311
252,25.16,14.6,16.04,22.607773
253,25.16,14.6,16.04,29.7743311
254,25.16,29.8,35.01,28.60872744
255,25.16,29.8,35.01,26.37331391
256,25.16,29.8,35.01,22.02429756
257,25.16,29.8,35.01,17.86941176
258,25.16,29.8,35.01,29.11199658
259,25.16,29.8,35.01,27.55016207
260,25.16,29.8,35.01,22.44053382
261,25.16,29.8,35.01,28.08316493
262,25.16,29.8,35.01,16.69300017
263,25.16,29.8,35.01,22.89605569
264,25.16,29.8,35.01,21.17432487
265,25.16,29.8,35.01,20.9406692
266,25.16,29.8,35.01,20.93099768
267,25.16,29.8,16.04,17.13627161
268,25.16,29.8,16.04,10.75757702
269,25.16,29.8,16.04,8.794403933
270,25.16,29.8,16.04,22.48492927
271,25.16,29.8,16.04,16.44616569
272,25.16,29.8,16.04,21.94926331
273,25.16,29.8,35.01,17.16523524
274,25.16,29.8,35.01,13.25916565
275,25.16,29.8,35.01,19.58693073
276,25.16,29.8,35.01,23.33885565
