Half_hour,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,0.525577528,0.503230428,0.503230428,0.503230428,0.503230428,0.53239487,0.55474197
1,0.404435293,0.388827569,0.388827569,0.388827569,0.388827569,0.410211809,0.425819533
2,0.283293058,0.27442471,0.27442471,0.27442471,0.27442471,0.288028749,0.296897097
3,0.225487488,0.219293679,0.219293679,0.219293679,0.219293679,0.224313957,0.230507766
4,0.167681917,0.164162647,0.164162647,0.164162647,0.164162647,0.160599166,0.164118435
5,0.14459295,0.142134913,0.142134913,0.142134913,0.142134913,0.133828054,0.136286091
6,0.121503983,0.120107179,0.120107179,0.120107179,0.120107179,0.107056943,0.108453747
7,0.100680264,0.099704319,0.099704319,0.099704319,0.099704319,0.091976131,0.092952076
8,0.079856544,0.079301459,0.079301459,0.079301459,0.079301459,0.07689532,0.077450404
9,0.090904153,0.090515808,0.090515808,0.090515808,0.090515808,0.082546872,0.082935216
10,0.101951762,0.101730157,0.101730157,0.101730157,0.101730157,0.088198424,0.088420029
11,0.200811057,0.200655527,0.200655527,0.200655527,0.200655527,0.126711101,0.12686663
12,0.299670351,0.299580897,0.299580897,0.299580897,0.299580897,0.165223778,0.165313232
13,0.483735109,0.483672438,0.483672438,0.483672438,0.483672438,0.292660506,0.292723176
14,0.667799866,0.667763979,0.667763979,0.667763979,0.667763979,0.420097233,0.42013312
15,0.788012016,0.78798701,0.78798701,0.78798701,0.78798701,0.615010331,0.615035336
16,0.908224165,0.908210042,0.908210042,0.908210042,0.908210042,0.809923429,0.809937552
17,0.984379064,0.98436948,0.98436948,0.98436948,0.98436948,0.968358277,0.968367861
18,1.060533963,1.060528918,1.060528918,1.060528918,1.060528918,1.126793125,1.126798171
19,1.093429596,1.093425812,1.093425812,1.093425812,1.093425812,1.212072596,1.21207638
20,1.126325229,1.126322707,1.126322707,1.126322707,1.126322707,1.297352067,1.297354589
21,1.124449138,1.124447247,1.124447247,1.124447247,1.124447247,1.330327303,1.330329195
22,1.122573047,1.122571787,1.122571787,1.122571787,1.122571787,1.36330254,1.3633038
23,1.122124409,1.122123464,1.122123464,1.122123464,1.122123464,1.371807519,1.371808464
24,1.121675771,1.121675142,1.121675142,1.121675142,1.121675142,1.380312499,1.380313128
25,1.128775701,1.12877523,1.12877523,1.12877523,1.12877523,1.367718279,1.367718751
26,1.135875631,1.135875317,1.135875317,1.135875317,1.135875317,1.35512406,1.355124374
27,1.144931964,1.144931729,1.144931729,1.144931729,1.144931729,1.361761769,1.361762005
28,1.153988297,1.15398814,1.15398814,1.15398814,1.15398814,1.368399479,1.368399635
29,1.176818345,1.176818228,1.176818228,1.176818228,1.176818228,1.394305354,1.394305471
30,1.199648393,1.199648316,1.199648316,1.199648316,1.199648316,1.42021123,1.420211308
31,1.250968162,1.250968104,1.250968104,1.250968104,1.250968104,1.475302596,1.475302654
32,1.30228793,1.302287892,1.302287892,1.302287892,1.302287892,1.530393963,1.530394001
33,1.375609071,1.375609043,1.375609043,1.375609043,1.375609043,1.597685594,1.597685623
34,1.448930212,1.448930194,1.448930194,1.448930194,1.448930194,1.664977226,1.664977244
35,1.537669576,1.537669562,1.537669562,1.537669562,1.537669562,1.731045178,1.731045191
36,1.62640894,1.626408931,1.626408931,1.626408931,1.626408931,1.79711313,1.797113139
37,1.692894734,1.692894727,1.692894727,1.692894727,1.692894727,1.826303514,1.82630352
38,1.759380527,1.759380523,1.759380523,1.759380523,1.759380523,1.855493897,1.855493902
39,1.827136152,1.827136149,1.827136149,1.827136149,1.827136149,1.882800345,1.882800349
40,1.894891776,1.894891774,1.894891774,1.894891774,1.894891774,1.910106793,1.910106796
41,1.897791193,1.897791191,1.897791191,1.897791191,1.897791191,1.908070386,1.908070388
42,1.900690609,1.900690608,1.900690608,1.900690608,1.900690608,1.906033979,1.90603398
43,1.726557592,1.726557591,1.726557591,1.726557591,1.726557591,1.73935052,1.73935052
44,1.552424574,1.552424574,1.552424574,1.552424574,1.552424574,1.57266706,1.57266706
45,1.253594087,1.253594086,1.253594086,1.253594086,1.253594086,1.291870836,1.291870837
46,0.954763599,0.954763599,0.954763599,0.954763599,0.954763599,1.011074613,1.011074613
47,0.728997013,0.728997013,0.728997013,0.728997013,0.743579234,0.782908291,0.76832607
