hour,event_count,no_hholds,day_name,day_wk_mon1,simple_labels2_based_on_900k_sample
0,407,138,Monday,1,2_shower
1,274,92,Monday,1,2_shower
2,262,77,Monday,1,2_shower
3,681,171,Monday,1,2_shower
4,2285,451,Monday,1,2_shower
5,7357,1067,Monday,1,2_shower
6,13349,1583,Monday,1,2_shower
7,14491,1853,Monday,1,2_shower
8,11712,1901,Monday,1,2_shower
9,8801,1795,Monday,1,2_shower
10,6332,1633,Monday,1,2_shower
11,4322,1425,Monday,1,2_shower
12,3281,1300,Monday,1,2_shower
13,2954,1193,Monday,1,2_shower
14,3138,1228,Monday,1,2_shower
15,4386,1324,Monday,1,2_shower
16,6436,1536,Monday,1,2_shower
17,8978,1660,Monday,1,2_shower
18,9662,1680,Monday,1,2_shower
19,8060,1493,Monday,1,2_shower
20,6015,1254,Monday,1,2_shower
21,3916,947,Monday,1,2_shower
22,2017,596,Monday,1,2_shower
23,868,301,Monday,1,2_shower
0,70,36,Monday,1,3_bath
1,50,18,Monday,1,3_bath
2,45,22,Monday,1,3_bath
3,107,42,Monday,1,3_bath
4,453,166,Monday,1,3_bath
5,1558,434,Monday,1,3_bath
6,2851,692,Monday,1,3_bath
7,2708,823,Monday,1,3_bath
8,2224,839,Monday,1,3_bath
9,1843,798,Monday,1,3_bath
10,1439,699,Monday,1,3_bath
11,1094,576,Monday,1,3_bath
12,815,503,Monday,1,3_bath
13,658,447,Monday,1,3_bath
14,722,456,Monday,1,3_bath
15,1019,506,Monday,1,3_bath
16,1591,679,Monday,1,3_bath
17,2194,785,Monday,1,3_bath
18,2328,799,Monday,1,3_bath
19,2065,733,Monday,1,3_bath
20,1402,545,Monday,1,3_bath
21,873,386,Monday,1,3_bath
22,462,205,Monday,1,3_bath
23,178,94,Monday,1,3_bath
0,86,30,Monday,1,2b_shower_big
1,30,23,Monday,1,2b_shower_big
2,23,16,Monday,1,2b_shower_big
3,35,19,Monday,1,2b_shower_big
4,215,63,Monday,1,2b_shower_big
5,659,199,Monday,1,2b_shower_big
6,1067,332,Monday,1,2b_shower_big
7,1066,412,Monday,1,2b_shower_big
8,825,436,Monday,1,2b_shower_big
9,747,420,Monday,1,2b_shower_big
10,738,418,Monday,1,2b_shower_big
11,589,360,Monday,1,2b_shower_big
12,480,302,Monday,1,2b_shower_big
13,447,290,Monday,1,2b_shower_big
14,384,255,Monday,1,2b_shower_big
15,548,313,Monday,1,2b_shower_big
16,857,406,Monday,1,2b_shower_big
17,1127,486,Monday,1,2b_shower_big
18,1269,499,Monday,1,2b_shower_big
19,1110,464,Monday,1,2b_shower_big
20,904,381,Monday,1,2b_shower_big
21,508,240,Monday,1,2b_shower_big
22,257,116,Monday,1,2b_shower_big
23,149,57,Monday,1,2b_shower_big
0,379,153,Tuesday,2,2_shower
1,265,79,Tuesday,2,2_shower
2,308,88,Tuesday,2,2_shower
3,692,155,Tuesday,2,2_shower
4,2471,474,Tuesday,2,2_shower
5,8035,1111,Tuesday,2,2_shower
6,14178,1641,Tuesday,2,2_shower
7,14215,1819,Tuesday,2,2_shower
8,11509,1875,Tuesday,2,2_shower
9,8076,1753,Tuesday,2,2_shower
10,5778,1579,Tuesday,2,2_shower
11,4043,1385,Tuesday,2,2_shower
12,3029,1187,Tuesday,2,2_shower
13,2850,1166,Tuesday,2,2_shower
14,2912,1176,Tuesday,2,2_shower
15,4546,1375,Tuesday,2,2_shower
16,6756,1553,Tuesday,2,2_shower
17,9391,1728,Tuesday,2,2_shower
18,10105,1670,Tuesday,2,2_shower
19,8609,1528,Tuesday,2,2_shower
20,6059,1255,Tuesday,2,2_shower
21,4088,985,Tuesday,2,2_shower
22,2117,610,Tuesday,2,2_shower
23,910,300,Tuesday,2,2_shower
0,53,32,Tuesday,2,3_bath
1,40,19,Tuesday,2,3_bath
2,22,15,Tuesday,2,3_bath
3,95,39,Tuesday,2,3_bath
4,555,150,Tuesday,2,3_bath
5,1584,427,Tuesday,2,3_bath
6,2901,703,Tuesday,2,3_bath
7,2764,803,Tuesday,2,3_bath
8,2176,817,Tuesday,2,3_bath
9,1628,755,Tuesday,2,3_bath
10,1241,648,Tuesday,2,3_bath
11,956,513,Tuesday,2,3_bath
12,728,437,Tuesday,2,3_bath
13,605,401,Tuesday,2,3_bath
14,671,416,Tuesday,2,3_bath
15,1096,536,Tuesday,2,3_bath
16,1600,649,Tuesday,2,3_bath
17,2424,813,Tuesday,2,3_bath
18,2520,842,Tuesday,2,3_bath
19,2176,768,Tuesday,2,3_bath
20,1481,584,Tuesday,2,3_bath
21,992,400,Tuesday,2,3_bath
22,449,205,Tuesday,2,3_bath
23,169,96,Tuesday,2,3_bath
0,62,28,Tuesday,2,2b_shower_big
1,22,16,Tuesday,2,2b_shower_big
2,18,14,Tuesday,2,2b_shower_big
3,36,20,Tuesday,2,2b_shower_big
4,187,71,Tuesday,2,2b_shower_big
5,612,198,Tuesday,2,2b_shower_big
6,1069,324,Tuesday,2,2b_shower_big
7,1042,413,Tuesday,2,2b_shower_big
8,810,385,Tuesday,2,2b_shower_big
9,744,392,Tuesday,2,2b_shower_big
10,572,351,Tuesday,2,2b_shower_big
11,541,327,Tuesday,2,2b_shower_big
12,430,277,Tuesday,2,2b_shower_big
13,385,265,Tuesday,2,2b_shower_big
14,355,243,Tuesday,2,2b_shower_big
15,537,320,Tuesday,2,2b_shower_big
16,864,409,Tuesday,2,2b_shower_big
17,1235,499,Tuesday,2,2b_shower_big
18,1322,515,Tuesday,2,2b_shower_big
19,1168,462,Tuesday,2,2b_shower_big
20,930,383,Tuesday,2,2b_shower_big
