half_hour,Weekday,Weekend
0,37.02314876,37.31454687
1,36.67827521,36.7992939
2,36.33340166,36.28404092
3,36.20143288,36.05711481
4,36.0694641,35.8301887
5,36.09297134,35.82790798
6,36.11647858,35.82562725
7,35.98840468,35.7096442
8,35.86033077,35.59366114
9,35.89054537,35.68143409
10,35.92075997,35.76920704
11,36.53204639,36.00397319
12,37.14333281,36.23873933
13,37.57868941,37.55570231
14,38.01404602,38.87266529
15,35.84972261,40.32547595
16,33.6853992,41.77828661
17,32.90510072,41.57385298
18,32.12480224,41.36941936
19,31.53862951,40.3519134
20,30.95245678,39.33440744
21,30.06318958,38.5794985
22,29.17392238,37.82458956
23,28.78874046,37.17715242
24,28.40355853,36.52971527
25,28.90640814,35.78589911
26,29.40925775,35.04208296
27,29.77943272,35.51638292
28,30.1496077,35.99068289
29,30.91246171,36.87998832
30,31.67531573,37.76929374
31,33.27527837,39.44593375
32,34.87524101,41.12257376
33,36.99600325,42.71911393
34,39.1167655,44.3156541
35,41.40663214,45.66775711
36,43.69649879,47.01986011
37,44.84333109,47.02530602
38,45.9901634,47.03075193
39,47.78729231,47.86574894
40,49.58442121,48.70074595
41,50.0000639,49.49303793
42,50.41570659,50.28532991
43,48.21240612,48.2219122
44,46.00910565,46.15849449
45,42.93609361,43.31321317
46,39.86308157,40.46793184
47,38.44311516,38.89123936
